ID,taxonomy
OTU_10068,k__Bacteria; p__Cyanobacteria; c__Cyanobacteria; o__SubsectionIV; f__FamilyI; g__unidentified; s__unidentified
OTU_10069,k__Bacteria; p__Parcubacteria
OTU_1007,k__Bacteria; p__Acidobacteria; c__Subgroup_6; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10070,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10071,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10072,k__Bacteria; p__Parcubacteria
OTU_10073,k__Bacteria; p__Parcubacteria
OTU_10074,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10075,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10076,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10077,k__Bacteria; p__Parcubacteria
OTU_10078,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10079,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1008,k__Bacteria; p__Acidobacteria; c__Subgroup_17; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10080,k__Bacteria
OTU_10081,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10082,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10083,k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__unidentified; g__unidentified; s__unidentified
OTU_10084,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10085,k__Bacteria; p__Parcubacteria
OTU_10086,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10087,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10088,k__Bacteria; p__Gracilibacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10089,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1009,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__Haliangium; s__unidentified
OTU_10090,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__unidentified; s__unidentified
OTU_10091,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10092,k__Bacteria; p__Microgenomates; c__Candidatus_Collierbacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10093,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10094,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10095,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10096,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10097,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10098,k__Bacteria; p__Parcubacteria
OTU_10099,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_101,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae
OTU_1010,k__Bacteria; p__Acidobacteria; c__Subgroup_6; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10100,k__Bacteria; p__Parcubacteria; c__Candidatus_Azambacteria
OTU_10101,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10102,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10103,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10104,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10105,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10106,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10107,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10108,k__Bacteria; p__Acidobacteria; c__Subgroup_11; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10109,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1011,k__Bacteria
OTU_10110,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10111,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10112,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10113,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10114,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Tetraphis_pellucida; s__Tetraphis_pellucida
OTU_10115,k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__unidentified; g__unidentified; s__unidentified
OTU_10116,k__Bacteria; p__Parcubacteria; c__groundwater_metagenome; o__groundwater_metagenome; f__groundwater_metagenome; g__groundwater_metagenome; s__groundwater_metagenome
OTU_10117,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10118,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__OM27_clade; s__unidentified
OTU_10119,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1012,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Oligoflexales; f__0319-6G20; g__unidentified; s__unidentified
OTU_10120,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10121,k__Bacteria; p__Parcubacteria; c__Candidatus_Adlerbacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10122,k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__unidentified; s__unidentified
OTU_10123,k__Bacteria; p__Chloroflexi; c__JG37-AG-4; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10124,k__Bacteria; p__WS6; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10125,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10126,k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__unidentified; g__unidentified; s__unidentified
OTU_10127,k__Bacteria; p__Parcubacteria; c__Candidatus_Magasanikbacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10128,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10129,k__Bacteria; p__Cyanobacteria; c__Cyanobacteria
OTU_1013,k__Bacteria; p__Acidobacteria; c__AT-s3-28; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10130,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10131,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10132,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10133,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10134,k__Bacteria; p__Parcubacteria
OTU_10135,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10136,k__Bacteria; p__Parcubacteria; c__Candidatus_Azambacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10137,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10138,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10139,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__groundwater_metagenome; f__groundwater_metagenome; g__groundwater_metagenome; s__groundwater_metagenome
OTU_1014,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__0319-6A21; g__unidentified; s__unidentified
OTU_10140,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10141,k__Bacteria; p__Verrucomicrobia; c__Spartobacteria; o__Chthoniobacterales; f__Xiphinematobacteraceae; g__Candidatus_Xiphinematobacter; s__unidentified
OTU_10142,k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__unidentified; g__unidentified; s__unidentified
OTU_10143,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10144,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10145,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10146,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10147,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10148,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10149,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_1015,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
OTU_10151,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10152,k__Bacteria; p__Parcubacteria
OTU_10153,k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__unidentified; s__unidentified
OTU_10154,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10155,k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__AKYG1722; f__unidentified; g__unidentified; s__unidentified
OTU_10156,k__Bacteria; p__Microgenomates; c__Candidatus_Pacebacteria
OTU_10157,k__Bacteria; p__Parcubacteria; c__Candidatus_Nomurabacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10158,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10159,k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__unidentified; s__unidentified
OTU_1016,k__Bacteria; p__Acidobacteria; c__Subgroup_6; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10160,k__Bacteria; p__Parcubacteria
OTU_10161,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10162,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10163,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
