ID,BS0F1s_1,BS0F1s_2,BS0F1s_3,BS0F1s_4,BS0F2s_1,BS0F2s_2,BS0F2s_3,BS0F2s_4,BS1F1s_1,BS1F1s_2,BS1F1s_3,BS1F1s_4,BS1F2s_1,BS1F2s_2,BS1F2s_3,BS1F2s_4,DS0F1s_1,DS0F1s_2,DS0F1s_3,DS0F1s_4,DS0F2s_2,DS0F2s_3,DS0F2s_4,DS1F1s_1,DS1F1s_2,DS1F1s_3,DS1F1s_4,DS1F2s_1,DS1F2s_2,DS1F2s_3,DS1F2s_4,TS0F1s_1,TS0F1s_2,TS0F1s_3,TS0F1s_4,TS0F2s_1,TS0F2s_2,TS0F2s_3,TS0F2s_4,TS1F1s_1,TS1F1s_3,TS1F1s_4,TS1F2s_1,TS1F2s_2,TS1F2s_3,TS1F2s_4
OTU_13841,1,4,3,1,0,3,1,3,2,0,0,0,1,0,2,2,3,3,9,1,4,1,2,5,3,2,2,6,0,2,2,2,0,0,5,2,2,1,0,1,4,3,1,0,1,3
OTU_13842,0,0,0,2,1,0,2,1,0,1,2,2,0,3,0,1,0,1,2,1,0,2,0,2,1,2,1,0,0,0,3,2,0,0,1,0,4,5,2,1,1,2,1,1,3,3
OTU_13843,12,15,12,8,4,7,18,17,18,7,18,20,11,14,13,18,8,10,16,8,15,16,13,8,13,13,18,22,15,13,15,18,11,15,20,6,25,20,10,17,31,20,8,13,14,10
OTU_13844,5,2,3,2,0,1,2,0,3,0,0,2,0,2,1,5,2,2,1,1,5,1,2,0,1,0,3,0,3,0,1,5,0,3,1,2,2,0,0,1,1,1,0,0,1,0
OTU_13845,0,3,1,0,1,0,4,1,1,0,2,1,2,0,1,0,2,1,3,0,0,2,0,0,3,1,0,0,2,4,19,1,1,2,0,0,1,0,0,0,0,1,1,2,1,0
OTU_13846,1,2,1,3,0,0,3,2,0,1,2,2,0,3,4,6,1,4,5,0,0,1,4,0,3,4,2,1,1,4,2,0,2,0,1,0,3,3,4,3,1,0,0,1,1,4
OTU_13847,1,1,0,1,4,0,0,5,0,2,0,0,0,1,6,1,2,1,1,0,2,1,1,3,4,2,1,0,2,1,2,2,0,4,1,0,1,2,1,0,2,0,0,0,0,0
OTU_13848,1,0,1,0,0,0,1,0,0,6,0,0,0,1,0,7,2,0,1,3,1,1,0,3,0,0,0,16,1,1,5,4,0,0,0,3,4,0,0,2,0,1,0,1,3,3
OTU_13849,4,2,0,0,1,2,0,1,1,1,0,1,0,0,1,1,5,4,2,1,2,2,1,0,5,0,1,2,1,1,2,3,0,4,2,1,2,0,1,1,1,0,0,0,0,3
OTU_1385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
