"","tax_indic_sign","BF","DF","TF","index","stat","p.value"
"OTU_3766","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Hannaella; s__Hannaella_luteola",1,0,0,1,0.42877679758508,0.0055
"OTU_3770","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,0,0,1,0.319534865376635,0.0301
"OTU_3786","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,0,0,1,0.329841786240506,0.0174
"OTU_3787","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_indicum",1,0,0,1,0.355631543765782,0.0343
"OTU_3822","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Septoglomus; s__Septoglomus_constrictum",1,0,0,1,0.444087553375701,7e-04
"OTU_3860","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,1,0,4,0.354050433711731,0.0336
"OTU_3872","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,0,0,1,0.396368326590305,0.0131
"OTU_3878","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_indicum",1,0,0,1,0.362374042239841,0.0118
"OTU_3899","k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Starmera; s__Starmera_stellimalicola",1,0,0,1,0.557890715393853,4e-04
"OTU_3971","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_indicum",1,0,0,1,0.400457810967749,0.0134
"OTU_3976","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_indicum",1,1,0,4,0.363173429049542,0.0283
"OTU_3997","k__Fungi; p__Glomeromycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.342553469233475,0.0369
"OTU_408","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__unidentified; g__unidentified; s__unidentified",1,0,0,1,0.380132846651481,0.0195
"OTU_411","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Hymenochaetaceae; g__unidentified; s__unidentified",1,0,1,5,0.473844593173549,0.0023
"OTU_439","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.360673058077741,0.0349
"OTU_5","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified",1,0,0,1,0.347523019451448,0.0423
"OTU_976","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.533563347776302,4e-04
"OTU_1096","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified",0,1,1,6,0.427693711827634,0.0076
"OTU_1249","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_opportunistica",0,1,0,2,0.397328253081543,0.0041
"OTU_1287.1","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,1,0,4,0.382290317746437,0.0179
"OTU_1301","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_salmonis",0,1,0,2,0.481742422228074,0.0013
"OTU_1388","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__Cladophialophora_chaetospira",0,1,0,2,0.458011271367848,0.0031
"OTU_1675","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Lecanicillium; s__Lecanicillium_muscarium",0,1,0,2,0.292676533826128,0.0405
"OTU_1708","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces; s__Talaromyces_purpureogenus",0,1,1,6,0.3329082982379,0.0485
"OTU_1920","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Scytalidium; s__Scytalidium_sp",0,1,0,2,0.468109727974008,0.0028
"OTU_1924","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.252677409669824,1e-04
"OTU_1960","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.307535240613219,0.032
"OTU_2013","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.413358717438087,0.004
"OTU_2056","k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_alpina",0,1,1,6,0.385177380085485,0.0225
"OTU_2094","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium; s__Acremonium_polychromum",0,1,0,2,0.389650777480326,0.017
"OTU_2221","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.509483556016168,5e-04
"OTU_2249","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Stachybotryaceae; g__Striaticonidium; s__Striaticonidium_brachysporum",0,1,0,2,0.349262959056164,0.0409
"OTU_2282.1","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.432874972985934,0.0048
"OTU_2313","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Sporidesmiella; s__Sporidesmiella_sp",0,1,0,2,0.415665864151896,0.0102
"OTU_2356","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,1,6,0.401857586104674,0.0115
"OTU_2360.1","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Schizothecium; s__Schizothecium_carpinicola",1,1,0,4,0.381825386175253,0.0215
"OTU_2454.1","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.376197882318774,0.0243
"OTU_2654","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.240524934779626,0.016
"OTU_2666","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Geosmithia; s__Geosmithia_microcorthyli",0,1,0,2,0.342355936672278,0.0402
"OTU_2698","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Chaetosphaeriales; f__Chaetosphaeriaceae; g__Chloridium; s__Chloridium_sp",0,1,0,2,0.442554945991552,0.0023
"OTU_2828.1","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.394694165125368,0.01
"OTU_2867.1","k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_fimbricystis",1,1,0,4,0.441660774611319,0.0049
"OTU_3206","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.351163554473148,0.0406
"OTU_3245","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__unidentified; s__unidentified",0,1,0,2,0.353142051738776,0.0375
"OTU_3282","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.561169805985498,3e-04
"OTU_3309","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.392501501145604,9e-04
"OTU_3355","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.578230825770127,1e-04
"OTU_3356","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Melanommataceae; g__Alpinaria; s__Alpinaria_rhododendri",0,1,0,2,0.297832054700658,0.0431
"OTU_3559","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cuniculitremaceae; g__Kockovaella; s__Kockovaella_lichenicola",0,1,0,2,0.31692807122591,0.0123
"OTU_3584.1","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,1,0,4,0.341026178450327,0.0457
"OTU_3639.1","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_aggregatum",1,1,0,4,0.355929464290693,0.0351
