ID,taxonomy
OTU_1068,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Lecythophora; s__Lecythophora_sp
OTU_1069,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_lixii
OTU_107,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1071,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Mrakiaceae; g__Udeniomyces; s__Udeniomyces_pyricola
OTU_1072,k__Fungi; p__Olpidiomycota; c__Olpidiomycetes; o__Olpidiales; f__Olpidiaceae; g__Olpidium; s__Olpidium_bornovanus
OTU_1073,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Trichomeriaceae; g__Knufia; s__Knufia_mediterranea
OTU_1074,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium; s__Acremonium_polychromum
OTU_1075,k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__unidentified; g__unidentified; s__unidentified
OTU_1076,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Corticiales; f__Corticiaceae; g__Limonomyces; s__Limonomyces_sp
OTU_1077,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Corticiales; f__Corticiaceae; g__Limonomyces; s__Limonomyces_sp
OTU_1078,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_penicillioides
OTU_108,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1080,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Pseudoacremonium; s__Pseudoacremonium_sacchari
OTU_1081,k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1082,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Boubovia; s__Boubovia_sp
OTU_1083,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1084,k__Fungi; p__Rozellomycota; c__Rozellomycotina_cls_Incertae_sedis; o__GS04; f__unidentified; g__unidentified; s__unidentified
OTU_1085,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_velutinum
OTU_1086,k__Fungi; p__Chytridiomycota; c__Spizellomycetes; o__Spizellomycetales; f__Spizellomycetaceae; g__Spizellomyces; s__Spizellomyces_pseudodichotomus
OTU_1087,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae; g__Hirsutella; s__Hirsutella_rostrata
OTU_1088,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pezizaceae; g__Iodophanus; s__Iodophanus_testaceus
