s.BF	s.DF	s.TF	index	stat	p.value
OTU_2285	1	0	0	1	0.590874964849192	1e-04
OTU_2286	1	1	0	4	0.293323066290846	0.0977
OTU_2291	0	0	1	3	0.0496513148808393	0.9708
OTU_2295	0	0	1	3	0.197123518901296	0.5495
OTU_2301	0	1	0	2	0.225373295296842	0.2978
OTU_2312	0	1	1	6	0.141418652209261	0.7129
OTU_2313	0	1	0	2	0.415665864151896	0.0102
OTU_2315	1	0	1	5	0.256898941847787	0.1957
OTU_2316	0	1	1	6	0.231225461928345	0.2816
OTU_2317	0	1	1	6	0.301991929846144	0.0894
OTU_2318	0	0	1	3	0.265915933408366	0.1416
OTU_2337	1	1	0	4	0.18306948897017	0.4764
OTU_2356	0	1	1	6	0.401857586104674	0.0115
OTU_2360	1	1	0	4	0.381825386175253	0.0215
OTU_2370	0	1	0	2	0.230115466199041	0.3011
OTU_2378	0	1	0	2	0.267297574041357	0.1745
OTU_2387	0	1	0	2	0.189336917234538	0.5026
OTU_2389	1	0	0	1	0.393274779754109	0.0178
OTU_2390	0	0	1	3	0.168330543576963	0.5198
OTU_2391	0	0	1	3	0.261302214687862	0.1869
OTU_2392	0	1	0	2	0.243239452389376	0.2329
OTU_2396	0	1	1	6	0.192562224004234	0.4396
OTU_2398	0	0	1	3	0.219793990183005	0.2368
OTU_2400	0	1	1	6	0.169679315883634	0.3713
OTU_2405	1	0	0	1	0.186272154525523	0.439
OTU_2407	1	0	0	1	0.161305688202313	0.5822
OTU_2414	0	1	1	6	0.0532871954350955	0.932
OTU_2417	0	0	1	3	0.206089257337232	0.3965
OTU_2426	0	1	1	6	0.248533582006249	0.225
OTU_2432	0	0	1	3	0.235382578004726	1e-04
OTU_2434	0	0	1	3	0.172405148506641	0.5272
OTU_2435	0	1	1	6	0.105704424962249	0.7829
OTU_2436	0	1	1	6	0.291967281984504	0.1028
OTU_2448	0	0	1	3	0.292230369176534	0.1132
OTU_2451	0	0	1	3	0.113486306515508	0.8255
OTU_2454	1	1	0	4	0.376197882318774	0.0243
OTU_2462	0	1	0	2	0.270241012192984	0.1722
OTU_2463	0	1	0	2	0.214207247107052	0.3339
OTU_2482	1	0	0	1	0.212501357773837	0.3349
OTU_2489	1	1	0	4	0.248716115137975	0.1968
OTU_249	1	0	0	1	0.177678931460397	0.668
OTU_2494	0	0	1	3	0.347777621596212	0.0087
OTU_2499	1	0	1	5	0.20489425327012	0.3624
OTU_2503	0	0	1	3	0.232718093669861	0.1936
OTU_2512	0	0	1	3	0.21653893284733	0.218
OTU_2515	0	0	1	3	0.137677371915109	0.6591
OTU_2523	1	1	0	4	0.282816531255735	0.138
OTU_2528	1	0	0	1	0.581154972246433	1e-04
OTU_2535	1	1	0	4	0.17802605022208	0.5292
OTU_2538	0	1	1	6	0.149580392531412	0.5811
OTU_2539	1	0	0	1	0.42640830762317	0.0059
OTU_2542	1	1	0	4	0.194521380440375	0.4429
OTU_2544	0	0	1	3	0.496266972819077	0.001
OTU_2545	0	1	1	6	0.172812414800994	0.5221
OTU_2549	0	1	0	2	0.0928032373501065	0.82
OTU_2550	1	1	0	4	0.0468513255440667	0.9494
OTU_2551	0	1	1	6	0.313048153453779	0.0805
OTU_2553	1	0	1	5	0.105301282644734	0.806
OTU_2554	1	0	0	1	0.157534236321308	0.5552
OTU_2571	0	0	1	3	0.0930908592385978	0.8248
OTU_2590	1	0	0	1	0.0497991802347483	0.9493
OTU_2591	0	0	1	3	0.36403289952157	0.0327
OTU_2595	1	0	1	5	0.167127972106015	0.5155
OTU_2629	0	0	1	3	0.462186772751336	0.0019
OTU_2634	0	1	0	2	0.174404492470431	0.4893
OTU_264	1	0	0	1	0.487109680563684	0.0024
OTU_2642	1	0	1	5	0.22226063096282	0.2977
OTU_2643	0	0	1	3	0.258853429721862	0.1945
OTU_2650	0	1	0	2	0.292036089433845	0.1054
OTU_2654	0	1	0	2	0.240524934779626	0.016
OTU_2658	1	1	0	4	0.238045376200546	0.2464
OTU_2660	1	0	0	1	0.0487333593997817	0.9475
OTU_2662	0	1	1	6	0.209307589168567	0.3716
OTU_2666	0	1	0	2	0.342355936672278	0.0402
OTU_2691	1	1	0	4	0.224623192900426	0.306
OTU_2697	1	0	1	5	0.298223396914691	0.1099
OTU_2698	0	1	0	2	0.442554945991552	0.0023
OTU_2699	0	1	0	2	0.258514538320683	0.1942
OTU_2701	0	1	0	2	0.225131367480114	0.311
OTU_2705	0	1	0	2	0.224409436950606	0.2913
OTU_2706	0	0	1	3	0.247344810394348	0.2277
OTU_2725	0	1	0	2	0.0718245332628435	0.8877
OTU_2741	0	1	1	6	0.199973310790322	0.4682
OTU_2751	1	0	0	1	0.174923798072901	0.4881
OTU_2755	0	1	0	2	0.225964959266102	0.2691
OTU_2762	0	1	0	2	0.348311555353191	0.0507
OTU_2778	0	0	1	3	0.238880814377028	0.2489
OTU_2784	0	1	0	2	0.185215701197204	0.4495
