"","BF...1","DF...2","TF...3","BF+DF","BF+TF","DF+TF","tax_indic_sign","BF...8","DF...9","TF...10","index","stat","p.value"
"OTU_5",0.347523019451448,-0.0746405730175847,-0.272882446433864,0.272882446433864,0.0746405730175846,-0.347523019451449,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified",1,0,0,1,0.347523019451448,0.0423
"OTU_976",0.36452589537031,0.169037452405991,-0.533563347776301,0.533563347776302,-0.169037452405991,-0.36452589537031,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.533563347776302,4e-04
"OTU_1096",-0.427693711827634,0.0885231180000054,0.339170593827628,-0.339170593827628,-0.0885231180000055,0.427693711827634,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified",0,1,1,6,0.427693711827634,0.0076
"OTU_1249",-0.287205874273214,0.397328253081543,-0.110122378808328,0.110122378808328,-0.397328253081543,0.287205874273214,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_opportunistica",0,1,0,2,0.397328253081543,0.0041
"OTU_1287.1",0.29945408640559,0.0828362313408475,-0.382290317746438,0.382290317746437,-0.0828362313408474,-0.29945408640559,"k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,1,0,4,0.382290317746437,0.0179
"OTU_1301",-0.333958575689492,0.481742422228074,-0.147783846538581,0.147783846538581,-0.481742422228074,0.333958575689492,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_salmonis",0,1,0,2,0.481742422228074,0.0013
"OTU_1388",-0.343924167271555,0.458011271367848,-0.114087104096293,0.114087104096293,-0.458011271367848,0.343924167271555,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__Cladophialophora_chaetospira",0,1,0,2,0.458011271367848,0.0031
"OTU_1675",-0.126537263721188,0.292676533826128,-0.16613927010494,0.166139270104941,-0.292676533826128,0.126537263721188,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Lecanicillium; s__Lecanicillium_muscarium",0,1,0,2,0.292676533826128,0.0405
"OTU_1708",-0.332908298237899,0.045510446855199,0.2873978513827,-0.2873978513827,-0.0455104468551989,0.3329082982379,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces; s__Talaromyces_purpureogenus",0,1,1,6,0.3329082982379,0.0485
"OTU_1920",-0.347883356702359,0.468109727974008,-0.120226371271649,0.120226371271649,-0.468109727974008,0.347883356702359,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Scytalidium; s__Scytalidium_sp",0,1,0,2,0.468109727974008,0.0028
"OTU_1924",-0.132970681913179,0.252677409669824,-0.119706727756644,0.119706727756644,-0.252677409669824,0.132970681913179,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.252677409669824,1e-04
"OTU_1960",-0.177212298010559,0.307535240613219,-0.13032294260266,0.13032294260266,-0.307535240613219,0.177212298010559,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.307535240613219,0.032
"OTU_2013",-0.198974325959211,0.413358717438087,-0.214384391478877,0.214384391478877,-0.413358717438087,0.198974325959211,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.413358717438087,0.004
"OTU_2056",-0.385177380085485,0.00507000358596899,0.380107376499516,-0.380107376499516,-0.00507000358596899,0.385177380085485,"k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_alpina",0,1,1,6,0.385177380085485,0.0225
"OTU_2094",-0.253657862189554,0.389650777480326,-0.135992915290772,0.135992915290772,-0.389650777480326,0.253657862189554,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium; s__Acremonium_polychromum",0,1,0,2,0.389650777480326,0.017
"OTU_2221",-0.206884051333593,0.509483556016168,-0.302599504682576,0.302599504682576,-0.509483556016169,0.206884051333593,"k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.509483556016168,5e-04
"OTU_2249",-0.0558310949309279,0.349262959056164,-0.293431864125237,0.293431864125236,-0.349262959056164,0.055831094930928,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Stachybotryaceae; g__Striaticonidium; s__Striaticonidium_brachysporum",0,1,0,2,0.349262959056164,0.0409
"OTU_2282.1",0.352570584896694,0.0803043880892403,-0.432874972985934,0.432874972985934,-0.0803043880892401,-0.352570584896694,"k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.432874972985934,0.0048
"OTU_2313",-0.17433088877083,0.415665864151896,-0.241334975381066,0.241334975381066,-0.415665864151896,0.17433088877083,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Sporidesmiella; s__Sporidesmiella_sp",0,1,0,2,0.415665864151896,0.0102
"OTU_2356",-0.401857586104673,0.400265225362691,0.0015923607419829,-0.00159236074198271,-0.40026522536269,0.401857586104674,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,1,6,0.401857586104674,0.0115
